Document,Questions,Clasificacion
20200000000186.pdf,"¿Quién figura como Jefe de Oficina en el documento de la Oficina de Planeamiento, Presupuesto y Modernización?",General
202000000001861.pdf,¿Cuál es el monto máximo estimado en soles para el presupuesto de la consultoría según el memorando múltiple N° 003-2020-INAIGEM/PE-DIGC?,General
202000000001861.pdf,"¿En qué zonas específicas se requiere realizar la identificación, formulación y evaluación del proyecto de inversión según el documento?",General
202000000001862.pdf,"¿Cuál fue el monto de reducción del servicio acordado en las reuniones virtuales con la DIG, DIGC, OPPM y demás especialistas según el informe?",General
202000000001862.pdf,¿Qué subcuencas fueron establecidas como ámbito de estudio según el documento debido al estado de emergencia nacional y cuarentena?,General
202000000001863.pdf,¿Cuál fue el monto propuesto por la consultora Tamara Cervantes Deanny según la Carta N°010-2020-DCATC del 15 de julio de 2020?,General
202000000001863.pdf,¿Cuál fue el plazo de ejecución establecido en la Orden de Servicio N°S000082 para el servicio de consultoría de elaboración de módulos de identificación?,General
202000000001863.pdf,¿Cuántas subcuencas se están modificando según el Término de Referencia de la Orden de Servicio N°S000082?,General
202000000001863.pdf,¿Qué especialista debe otorgar la conformidad según el documento para la Dirección de Investigación en Glaciares?,General
202000000001864.pdf,¿Cuál es el costo unitario por expediente para la impresión de planos para saneamiento físico legal de los terrenos a intervenir?,General
202000000001864.pdf,¿Cuál es el costo total de los servicios con IGV según el Cuadro N° 01 de la propuesta económica?,General
202000000001864.pdf,¿Cuál es el monto específico a pagar por cada uno de los cuatro entregables según la propuesta económica?,General
202000000001865r.pdf,¿Cuál es el nuevo monto actualizado del contrato según la recomendación mencionada en el punto 3.4?,General
202000000001865r.pdf,¿Qué informes se mencionan en el punto 3.2 relacionados con las limitaciones para analizar proyectos de inversión?,General
202000000001865r.pdf,¿Cuántas subcuencas del Callejón de Huaylas comprendía inicialmente el ámbito de estudio según la Orden de Servicio N° S000082?,General
202000000001865r.pdf,¿En qué fecha la jefatura de PPPM solicitó al especialista de inversiones preparar respuesta mediante correo electrónico?,General
202000000001881.pdf,¿Qué servicios públicos básicos debe contemplar el PIP según el documento?,General
202000000001881.pdf,¿Qué debe garantizar el estudio de impacto vial respecto a las vías aledañas al proyecto?,General
202000000001881.pdf,¿Cuál es el criterio principal que determina qué productos se pueden comercializar en un mercado de abastos municipal urbano según los lineamientos?,General
202000000001881.pdf,¿Qué factores específicos se deben considerar para determinar el tamaño del PIP en un mercado de abastos según el documento?,General
20200000000189.pdf,¿Cuál es la dirección exacta de la sede del INAIGEM en Huaraz según el documento?,General
20200000000189.pdf,¿Cuál es el número de teléfono de la sede del INAIGEM en Cusco según el documento?,General
20200000000189.pdf,¿Cuál es el número de expediente que aparece en el documento para la contratación CAS del Especialista en Modernización de la Gestión?,General
20200000000189.pdf,"¿Qué artículo del Reglamento de Organización y Funciones del INAIGEM indica las funciones de la Oficina de Planeamiento, Presupuesto y Modernización?",General
202000000001891.pdf,¿Cuál es el puntaje total asignado a la función de revisar y elaborar informes técnicos respecto de los proyectos de directivas o lineamientos internos para el logro de los objetivos y metas de las unidades orgánicas del INAGEM?,General
202000000001891.pdf,¿Qué unidad orgánica es responsable del puesto de Especialista en Modernización de la Gestión?,General
202000000001891.pdf,¿Cuál es la misión del puesto de Especialista en Modernización de la Gestión según el formato de perfil?,General
202000000001891.pdf,¿Con qué entidades debe coordinar externamente el especialista según el formato de perfil del puesto?,General
202000000001892.pdf,¿Cuál es el tiempo mínimo de experiencia laboral específica requerido en puestos similares para el cargo de Especialista en Modernización de la Gestión en el sector público?,General
202000000001892.pdf,¿Qué resolución de Presidencia Ejecutiva está incluida en la base legal de los términos de referencia para el puesto de Especialista en Modernización de la Gestión?,General
202000000001892.pdf,"¿Cuál es el monto de la contraprestación mensual establecida en el contrato, incluyendo impuestos y afiliaciones de Ley?",General
202000000001892.pdf,¿Qué conocimientos de ofimática se requieren específicamente para el puesto según las habilidades y competencias listadas?,General
